,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
5602,PerkinElmer,4.2,128,Pharma,Waltham +16 more,201-500 Employees
5603,Reliance Group,4.2,128,1 Lakh+ Employees,Mumbai +34 more,Conglomerate
5604,InnoEye Technologies,3.4,128,IT Services & Consulting,Indore +2 more,501-1k Employees
5605,Netcore Cloud Private Limited,3.6,128,IT Services & Consulting,Mumbai +11 more,501-1k Employees
5606,Anri Solutions HR Services,2.7,128,Recruitment,Delhi +2 more,11-50 Employees
5607,Emami Frank Ross,3.7,128,Retail,Kolkata +13 more,201-500 Employees
5608,Macmet Engineering,3.8,128,Industrial Machinery,Kolkata +13 more,501-1k Employees
5609,CMR Engineering College,4.6,128,Education & Training,Hyderabad +5 more,201-500 Employees
5610,DIN Engineering Services,4.3,128,Analytics & KPO,Noida +3 more,501-1k Employees
5611,Bizcrum Infotech,3.7,128,Internet,New Delhi +33 more,201-500 Employees
5612,Aaj Enterprises,3.9,128,Logistics,New Delhi +15 more,201-500 Employees
5613,SCIO Management Solutions,4.2,128,IT Services & Consulting,Florida +3 more,201-500 Employees
5614,Dmi Housing Finance,4.2,128,Financial Services,New Delhi +33 more,51-200 Employees
5615,Arvind Techno Engineers,3.8,128,Engineering & Construction,New Delhi +22 more,51-200 Employees
5616,Cotecna Inspection India,3.9,128,Analytics & KPO,Geneva +22 more,201-500 Employees
5617,Americana Group,3.6,128,Food Processing,Kuwait City +15 more,50k-1 Lakh Employees (Global)
5618,Neuberg Diagnostics,3.7,128,Healthcare,Chennai +25 more,501-1k Employees
5619,Prgx India,3.8,128,Accounting & Auditing,Atlanta,201-500 Employees
5620,Scc Infrastructure,3.9,128,Engineering & Construction,Ahmedabad +19 more,51-200 Employees
5621,TI METAL FORMING,3.9,128,Auto Components,Chennai +11 more,201-500 Employees
5622,SequelOne,3.6,128,IT Services & Consulting,Gurgaon/Gurugram +21 more,201-500 Employees
5623,Private Practice,4.2,128,Mumbai +58 more,Mumbai +58 more,
5624,Delhi World Public School,3.6,128,Education & Training,Noida +46 more,11-50 Employees
5625,John Deere Financial,4.2,128,NBFC,Johnston +31 more,5k-10k Employees
5626,Changepond Technologies,3.4,128,IT Services & Consulting,Chennai +1 more,501-1k Employees
5627,Teleminds Infotech,3.2,128,BPO,Kolkata +2 more,51-200 Employees
5628,Utthunga Technologies,3.5,128,Industrial Automation,Bangalore/Bengaluru +2 more,501-1k Employees
5629,Clarks Inn Group of Hotels,3.5,128,Hospitality,Noida +38 more,201-500 Employees
5630,UNext,3.2,128,EdTech,Bangalore +8 more,501-1k Employees
5631,MyCaptain,3.5,128,Internet,Nagpur +4 more,51-200 Employees
5632,Ksk Energy Ventures,4.4,128,Oil & Gas,Hyderabad/Secunderabad +13 more,1k-5k Employees
5633,Bosch Power Tools,4.5,128,Industrial Machinery,Leinfelden +27 more,201-500 Employees
